# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 16 14:06:35 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
loc_rowid,pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
1,11 Com b,11 Com,0,,,,,1.210000,0.060000,-0.050000,0,,,,,,,,,,,,
2,11 Com b,11 Com,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,4742.00,100.00,-100.00,0
3,11 Com b,11 Com,1,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,,,,,,,,,4874.00,,,0
4,11 UMi b,11 UMi,1,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,4213.00,46.00,-46.00,0
5,11 UMi b,11 UMi,0,,,,,1.510000,0.060000,-0.050000,0,,,,,,,,,,,,
6,11 UMi b,11 UMi,0,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,,,,,,,,,4340.00,70.00,-70.00,0
7,14 And b,14 And,1,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,,,,,,,,,4888.00,,,0
8,14 And b,14 And,0,,,,,0.680000,0.030000,-0.060000,0,,,,,,,,,,,,
9,14 And b,14 And,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,4813.00,20.00,-20.00,0
10,14 Her b,14 Her,0,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,,,,,,,,,,,,
11,14 Her b,14 Her,0,1766.00000000,,,0,2.864000,,,0,,,,,,,,,5280.00,163.21,-128.17,0
12,14 Her b,14 Her,1,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,,,,,,,,,,,,
13,14 Her b,14 Her,0,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,,,,,,,,,5338.00,25.00,-25.00,0
14,14 Her b,14 Her,0,1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,,,,,,,,,5255.00,50.00,-50.00,0
15,14 Her b,14 Her,0,1766.41000000,0.67000000,-0.68000000,0,2.830000,0.041000,-0.041000,0,,,,,,,,,5314.94,81.56,-81.56,0
